budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
"$237,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",19995,en,Avatar,150.437577,2009-12-10,2787965087,162,Released,Enter the World of Pandora.,Avatar,7.2,11800
"$300,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",285,en,Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,169,Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
"$245,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",206647,en,Spectre,107.376788,2015-10-26,880674609,148,Released,A Plan No One Escapes,Spectre,6.3,4466
"$250,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",49026,en,The Dark Knight Rises,112.31295,2012-07-16,1084939099,165,Released,The Legend Ends,The Dark Knight Rises,7.6,9106
"$260,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",49529,en,John Carter,43.926995,2012-03-07,284139100,132,Released,"Lost in our world, found in another.",John Carter,6.1,2124
"$258,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",559,en,Spider-Man 3,115.699814,2007-05-01,890871626,139,Released,The battle within.,Spider-Man 3,5.9,3576
"$260,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",38757,en,Tangled,48.681969,2010-11-24,591794936,100,Released,They're taking adventure to new lengths.,Tangled,7.4,3330
"$280,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",99861,en,Avengers: Age of Ultron,134.279229,2015-04-22,1405403694,141,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
"$250,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",767,en,Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,153,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
"$250,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",209112,en,Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,151,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
